No,Quote,Author
52,"I'd rather attempt to do something great and fail than to attempt to do nothing and succeed.",Robert H. Schuller
53,"Success is walking from failure to failure with no loss of enthusiasm.",Winston Churchill
54,"Many of life's failures are people who did not realize how close they were to success when they gave up.",Thomas Edison
55,"You miss 100% of the shots you don't take.",Wayne Gretzky
56,"The master has failed more times than the beginner has even tried.",Stephen McCranie
57,"Ever tried. Ever failed. No matter. Try again. Fail again. Fail better.",Samuel Beckett
58,"Rock bottom became the solid foundation on which I rebuilt my life.",J.K. Rowling
59,"Don't judge each day by the harvest you reap but by the seeds that you plant.",Robert Louis Stevenson
60,"Failure is simply the opportunity to begin again, this time more intelligently.",Henry Ford
61,"A leader is one who knows the way, goes the way, and shows the way.",John C. Maxwell
62,"Before you are a leader, success is all about growing yourself. When you become a leader, success is all about growing others.",Jack Welch
63,"Management is doing things right; leadership is doing the right things.",Peter Drucker
64,"He who has a why to live can bear almost any how.",Friedrich Nietzsche
65,"The task of leadership is not to put greatness into people, but to elicit it, for the greatness is there already.",John Buchan
66,"People don't care how much you know until they know how much you care.",Theodore Roosevelt
67,"The greatest leader is not the one who does the greatest things, but the one who gets people to do the greatest things.",Ronald Reagan
68,"If your actions inspire others to dream more, learn more, do more and become more, you are a leader.",John Quincy Adams
69,"Nearly all men can stand adversity, but if you want to test a man's character, give him power.",Abraham Lincoln
70,"Speak softly and carry a big stick.",Theodore Roosevelt
71,"The bad news is time flies. The good news is you're the pilot.",Michael Altshuler
72,"Lost time is never found again.",Benjamin Franklin
73,"You can do anything, but not everything.",David Allen
74,"The key is not to prioritize what's on your schedule, but to schedule your priorities.",Stephen Covey
75,"Most people overestimate what they can do in one year and underestimate what they can do in ten years.",Bill Gates
76,"Until we can manage time, we can manage nothing else.",Peter Drucker
77,"It's not enough to be busy. The question is: what are we busy about?",Henry David Thoreau
78,"Focus is saying no to the hundred other good ideas.",Steve Jobs
79,"Time you enjoy wasting is not wasted time.",Marthe Troly-Curtin
80,"Lack of direction, not lack of time, is the problem.",Zig Ziglar
81,"No man is free who is not master of himself.",Epictetus
82,"The impediment to action advances action. What stands in the way becomes the way.",Marcus Aurelius
83,"It is not because things are difficult that we do not dare; it is because we do not dare that they are difficult.",Seneca
84,"Knowing yourself is the beginning of all wisdom.",Aristotle
85,"The unexamined life is not worth living.",Socrates
86,"We suffer more in imagination than in reality.",Seneca
87,"The mind is everything. What you think, you become.",Buddha
88,"Memento mori. (Remember that you will die.)",Stoic Philosophy
89,"Between stimulus and response there is a space. In that space is our freedom and power to choose our response.",Viktor Frankl
90,"Man is not worried by real problems so much as by his imagined anxieties about real problems.",Epictetus
91,"If you are depressed you are living in the past. If you are anxious you are living in the future. If you are at peace you are living in the present.",Lao Tzu
92,"Comparison is the thief of joy.",Theodore Roosevelt
93,"The obstacle is the way.",Ryan Holiday (from Marcus Aurelius)
94,"Amor fati. (Love your fate.)",Friedrich Nietzsche
95,"He who conquers himself is the mightiest warrior.",Confucius
96,"Nobody is coming to save you. Your life is 100% your responsibility.",Naval Ravikant
97,"You are not paid for the hour. You are paid for the value you bring to the hour.",Jim Rohn
98,"The graveyard is the richest place on earth, because it is here that you will find all the hopes and dreams that were never fulfilled.",Les Brown
99,"Stop waiting for the perfect moment. Take the moment and make it perfect.",Zoey Sayward
100,"Your comfort zone will kill your dreams quietly.",Unknown
